Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2022-01-14,1.2,44.0,0.02,20.5,2.0
2022-01-15,1.5,38.0,0.04,19.1,2.0
2022-01-16,1.3,45.0,0.04,14.5,2.0
2022-01-17,1.6,50.0,0.03,18.9,3.0
2022-01-18,1.4,40.0,0.03,17.3,2.0
2022-01-19,1.0,39.0,0.03,9.1,3.0
2022-01-20,1.3,42.0,0.03,14.3,5.0
2022-01-21,1.0,44.0,0.03,11.6,2.0
2022-01-22,1.4,37.0,0.04,12.5,3.0
2022-01-23,0.7,35.0,0.04,9.2,1.0
2022-01-24,1.0,39.0,0.03,16.7,2.0
2022-01-25,1.1,38.0,0.03,16.6,1.0
2022-01-26,1.2,43.0,0.04,17.0,3.0
2022-01-27,0.9,42.0,0.04,16.1,2.0
2022-01-28,0.7,26.0,0.05,9.2,0.0
2022-01-29,0.9,42.0,0.04,12.7,1.0
2022-01-30,0.9,41.0,0.04,14.7,1.0
2022-01-31,1.1,42.0,0.03,17.0,1.0
2022-02-01,1.0,45.0,0.03,12.5,3.0
2022-02-02,1.0,35.0,0.04,9.0,1.0
2022-02-03,0.8,43.0,0.04,14.3,3.0
2022-02-04,0.7,36.0,0.04,14.7,1.0
2022-02-05,1.2,44.0,0.04,19.7,2.0
2022-02-06,1.7,40.0,0.04,19.1,2.0
2022-02-07,1.1,47.0,0.05,4.9,1.0
2022-02-08,1.2,48.0,0.04,17.5,1.5
2022-02-09,1.2,49.0,0.04,20.9,2.0
2022-02-10,1.1,51.0,0.04,10.8,4.0
2022-02-11,1.0,46.0,0.03,12.8,2.0
2022-02-12,1.2,44.0,0.04,15.5,3.0
2022-02-13,1.2,45.0,0.04,11.9,2.0
2022-02-14,1.3,51.0,0.04,14.85,3.0
2022-02-15,1.1,29.0,0.05,17.8,1.0
2022-02-16,0.4,19.0,0.05,8.1,1.2
2022-02-17,0.6,41.0,0.04,9.4,1.4
2022-02-18,1.0,46.0,0.04,14.4,1.6
2022-02-19,1.3,44.0,0.04,19.7,1.8
2022-02-20,1.6,34.0,0.04,13.0,2.0
2022-02-21,0.5,36.0,0.05,12.0,1.0
2022-02-22,0.3,21.0,0.04,6.7,1.0
2022-02-23,0.4,15.0,0.04,4.0,1.0
2022-02-24,0.6,42.0,0.04,9.7,1.0
2022-02-25,0.8,42.0,0.04,12.7,2.0
2022-02-26,1.0,43.0,0.03,15.9,2.0
2022-02-27,0.8,42.0,0.04,10.8,2.0
2022-02-28,1.4,48.0,0.04,13.9,4.0
2022-03-01,1.3,57.0,0.04,16.1,4.0
2022-03-02,1.2,55.0,0.04,12.6,2.0
2022-03-03,1.3,47.0,0.05,10.7,2.0
2022-03-04,0.4,20.0,0.04,5.4,1.0
2022-03-05,0.5,21.0,0.05,5.9,0.0
2022-03-06,0.6,38.0,0.05,9.7,0.0
2022-03-07,0.9,35.0,0.04,6.8,1.0
