Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2022-03-24,0.6,24.5,0.02,6.0,0.4
2022-03-25,0.6,34.9,0.03,8.7,0.41
2022-03-26,0.5,40.5,0.03,9.0,0.42
2022-03-27,0.5,36.7,0.02,6.6,0.42
2022-03-28,0.4,29.0,0.02,5.0,0.43
2022-03-29,0.6,25.2,0.03,6.1,0.44
2022-03-30,0.4,31.3,0.03,4.1,0.45
2022-03-31,0.4,31.6,0.03,4.3,0.45
2022-04-01,0.4,29.8,0.04,5.2,0.46
2022-04-02,0.4,20.5,0.04,3.4,0.47
2022-04-03,0.4,12.8,0.04,7.5,0.48
2022-04-04,0.3,20.6,0.04,6.0,0.48
2022-04-05,0.4,35.9,0.04,5.3,0.49
2022-04-06,0.6,43.8,0.03,6.1,0.5
2022-04-07,0.7,47.4,0.04,9.1,4.1
2022-04-08,0.5,21.1,0.04,3.7,0.5
2022-04-09,0.3,13.1,0.04,2.7,0.3
2022-04-10,0.4,18.6,0.04,2.9,0.5
2022-04-11,0.4,19.3,0.04,4.2,0.6
2022-04-12,0.4,28.3,0.05,6.7,0.5
2022-04-13,0.5,25.7,0.03,5.7,0.6
2022-04-14,0.4,34.4,0.04,8.1,0.9
2022-04-15,0.5,27.9,0.05,4.2,0.7
2022-04-16,0.4,19.9,0.04,4.7,0.7
2022-04-17,0.4,41.9,0.05,3.2,0.5
2022-04-18,0.5,44.1,0.04,6.0,1.2
2022-04-19,0.4,27.2,0.04,3.6,0.6
2022-04-20,0.3,35.9,0.04,5.7,0.5
2022-04-21,0.3,31.7,0.04,6.0,0.9
2022-04-22,0.31,28.1,0.04,6.2,1.6
2022-04-23,0.32,48.5,0.04,6.9,0.4
2022-04-24,0.32,41.13,0.04,6.8,0.8
2022-04-25,0.33,33.77,0.04,9.0,0.7
2022-04-26,0.34,26.4,0.04,5.7,0.5
2022-04-27,0.35,26.45,0.04,4.2,0.7
2022-04-28,0.36,26.5,0.04,4.5,0.7
2022-04-29,0.37,27.0,0.05,3.8,0.9
